No	Nama Destinasi	Klasifikasi	Kategori	Deskripsi	Tipe Aktivitas	Lintang	Bujur	Akses	Jam buka
1	Karangsambung Geological Site	Geodiversity	Geosite	Karangsambung Geological Site merupakan laboratorium alam geologi yang terkenal hingga tingkat internasional. Kawasan ini memperlihatkan batuan dasar samudra yang terangkat ke permukaan akibat aktivitas tektonik jutaan tahun lalu. Lokasi ini menjadi salah satu bukti sejarah pembentukan Pulau Jawa dan sering digunakan sebagai lokasi penelitian geologi.	"geologi, riset, edukasi"	-7.546474	109.673653	Sedang	08.00–18.00
2	Situs Batuan Diabas Karangsambung	Geodiversity	Geosite		"geologi, riset, edukasi"	-7.538824	109.669764		06.00–18.00
4	Watu Kelir Formation	Geodiversity	Geosite	Watu Kelir merupakan singkapan batuan sedimen yang berdiri hampir tegak akibat tekanan tektonik yang sangat kuat. Struktur geologi yang unik serta warna batuan yang kontras menjadikan lokasi ini sebagai salah satu objek geowisata penting di Geopark Kebumen.	"geologi, foto, tracking"	-7.7289	109.3987	Sulit	
5	Goa Jatijajar	Geodiversity	Goa	Goa Jatijajar adalah gua kapur yang terbentuk secara alami di kawasan karst Gombong Selatan. Di dalamnya terdapat berbagai stalaktit dan stalagmit yang indah serta diorama yang menceritakan legenda Raden Kamandaka atau Lutung Kasarung. Goa ini menjadi salah satu destinasi wisata unggulan Kabupaten Kebumen.	"karst, petualangan, sejarah"	-7.6617	109.4258	Mudah	
6	Pantai Karangbolong	Geodiversity	Pantai	"Pantai Karangbolong terkenal karena adanya tebing batu kapur besar yang berlubang alami sehingga membentuk terowongan atau ""karang bolong"". Kombinasi antara pantai, tebing karst, dan ombak Samudra Hindia menjadikan tempat ini memiliki panorama yang khas."	"karst, foto, tracking"	-7.7432	109.3789	Sedang	
7	Pantai Menganti	Geodiversity	Pantai	"Pantai Menganti merupakan salah satu pantai terindah di Jawa Tengah dengan hamparan pasir putih, perbukitan hijau, dan tebing karst yang menghadap langsung ke Samudra Hindia. Keindahan lanskapnya sering membuat pantai ini dijuluki sebagai ""New Zealand van Java""."	"karst, foto, santai"	-7.7695	109.4132	Sedang	
8	Pantai Lembupurwo	Biodiversity	Pantai	"Pantai Lembupurwo dikenal dengan hutan cemara udang yang tumbuh sepanjang garis pantai. Suasana yang teduh dan alami menjadikan lokasi ini cocok untuk wisata keluarga, fotografi, maupun kegiatan konservasi lingkungan pesisir."	"konservasi, penyu, edukasi"	-7.7278	109.3556	Sedang	
9	Pantai Tambakmulyo	Biodiversity	Pantai	Pantai Tambakmulyo menawarkan pemandangan pesisir selatan yang masih alami dengan aktivitas nelayan tradisional yang masih berlangsung hingga kini. Lokasi ini cocok untuk menikmati suasana pantai yang tenang dan kehidupan masyarakat pesisir.	"alam, santai, tracking"	-7.6956	109.4623	Sedang	
10	Pantai Jogosimo	Biodiversity	Pantai	"Pantai Jogosimo merupakan pantai berpasir gelap yang dikelilingi perbukitan karst. Selain panorama pantainya yang indah, kawasan ini juga menjadi lokasi aktivitas nelayan dan menawarkan suasana wisata yang relatif lebih sepi dibanding pantai populer lainnya."	"alam, tracking, foto"	-7.6892	109.4589	Sedang	
11	Hutan Mangrove Ayah	Biodiversity	Mangrove	"Hutan Mangrove Ayah merupakan kawasan konservasi pesisir yang berfungsi melindungi garis pantai dari abrasi sekaligus menjadi habitat berbagai jenis burung, ikan, dan biota pesisir. Kawasan ini juga dikembangkan sebagai destinasi ekowisata dan edukasi lingkungan."	"mangrove, edukasi, tracking"	-7.6989	109.3989	Mudah	
