No	Nama Destinasi	Klasifikasi	Kategori	Deskripsi	Tipe Aktivitas	Lintang	Bujur	Akses	Jam Buka	Rating	Link
1	 Embung Seboro	Geosite	Geologi	"Embung Seboro merupakan embung buatan yang berada di kawasan perbukitan Desa Seboro, Kecamatan Sadang, Kebumen. Selain berfungsi sebagai penampung air untuk pertanian, lokasi ini juga menjadi objek geowisata yang menawarkan panorama bentang alam perbukitan serta mendukung kegiatan edukasi geologi di kawasan Geopark Karangsambung–Karangbolong."	Geowisata/Edukasi	-7.508728	109.712251		08.00-17.00	3.8	https://maps.app.goo.gl/i6LhGDq9Z8vnjuwy6
2	Geosite sekis mika	Geosite	Geologi	"Geosite Sekis Mika merupakan singkapan batuan metamorf jenis sekis mika yang tersusun oleh mineral mika, kuarsa, dan mineral metamorf lainnya. Batuan ini terbentuk akibat proses metamorfisme regional pada tekanan dan temperatur tinggi sehingga menunjukkan struktur foliasi yang khas. Geosite ini menjadi lokasi penting untuk mempelajari sejarah geologi dan perkembangan batuan metamorf di kawasan Geopark Karangsambung–Karangbolong."	Geowisata/Edukasi	-7.516434	109.724787		08.00-17.00	5	https://maps.app.goo.gl/HEYoYwrHaezhWWsf8
3	Bukit Putri	Geosite	Geologi	"Bukit Putri merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.480796	109.749137		08.00-17.00	3.9	https://maps.app.goo.gl/gAdPBYs55yEPBt2b9
4	Curug Muncar	Geosite	Geologi	"Curug Muncar merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.497577	109.705224		08.00-17.00	5	https://maps.app.goo.gl/kwp3RhZxcDLrCaMCA
5	Wisata Geopark Watukelir	Geosite	Geologi	Wisata Geopark Watukelir merupakan kawasan geowisata yang menampilkan singkapan batuan dan bentang alam perbukitan khas Geopark Karangsambung–Karangbolong. Lokasi ini memiliki nilai ilmiah karena memperlihatkan proses geologi yang membentuk wilayah Kebumen serta menjadi sarana edukasi dan konservasi geologi.	Geowisata/Edukasi	-7.513213	109.707685		24 Jam	4.5	https://maps.app.goo.gl/i4quUbJqrrmryMp27
6	Serpentinit Pucangan	Geosite	Geologi	"Serpentinit Pucangan merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.521347	109.692598		08.00-17.00	5.0	https://maps.app.goo.gl/3jwHZMTKTLmcTVM67
7	Sungai Lukulo	Geosite	Geologi	"Sungai Luk Ulo merupakan sungai utama yang membelah kawasan Karangsambung dan menjadi salah satu geosite penting di Geopark Kebumen. Sungai ini menyingkap berbagai batuan penyusun Kompleks Melange Luk Ulo yang merupakan bukti proses subduksi lempeng purba dan pembentukan Pulau Jawa. Singkapan batuan di sepanjang sungai menjadikan lokasi ini sebagai laboratorium alam terbuka untuk penelitian geologi, geomorfologi, dan tektonik."	Geowisata/Edukasi	-7.645496	109.647022		24 Jam	4.4	https://maps.app.goo.gl/qyR5ig1awU9uyMVR9
8	Gunung Parang	Geosite	Geologi	"Gunung Parang merupakan salah satu geosite penting di Geopark Kebumen yang memiliki nilai geologi, edukasi, konservasi, dan geowisata. Lokasi ini memperlihatkan proses pembentukan batuan serta sejarah geologi kawasan Kebumen yang berlangsung selama jutaan tahun. Selain menjadi objek penelitian dan pembelajaran kebumian, destinasi ini juga memiliki potensi wisata alam dan interpretasi geologi bagi pengunjung."	Geowisata/Edukasi	-7.539931	109.670311		08.00-17.00	4.6	https://maps.app.goo.gl/8rwAxMfpWM6Mu64p7
9	Bukit Pranji	Geosite	Geologi	Perbukitan dengan panorama alam yang mencerminkan proses pembentukan bentang alam di kawasan Geopark Kebumen dan dimanfaatkan sebagai lokasi geowisata serta edukasi geologi.	Geowisata/Edukasi	-7.591723	109.631861		08.00-19.00	4.7	https://maps.app.goo.gl/LnKzWhz1km51Cucr6
10	Bukit Sipako	Geosite	Geologi	"Bukit Sipako merupakan kawasan perbukitan yang menawarkan panorama bentang alam khas Geopark Karangsambung–Karangbolong. Bukit ini memiliki nilai geomorfologi karena memperlihatkan bentuk lahan perbukitan yang terbentuk akibat proses geologi dan erosi dalam jangka waktu yang panjang, sehingga menjadi lokasi yang menarik untuk wisata dan edukasi kebumian."	Geowisata/Edukasi	-7.533631	109.664211		08.00-17.00	4.2	https://maps.app.goo.gl/rZBUGo7uBu9uEn6U6
